Company,Date,Open,High,Low,Close,Volume
,,,,,4.5,
,,,,,4.5,
,,,,,4.6,
,,,,,4.9,
,,,,,5.2,
,,,,,5.4,
,,,,,5.2,
,,,,,5.2,
,,,,,5.2,
,,,,,5.1,
,,,,,5,
,,,,,5.1,
,,,,,5,
,,,,,5.5,
,,,,,5.6,
,,,,,5.4,
,,,,,5.6,
,,,,,5.5,
,,,,,5.3,
,,,,,5.3,
,,,,,5.3,
,,,,,5.3,
,,,,,5.2,
